Texto,Precio_Kg,Precio_Lt
77 Guerrero Cuetzala del Progreso ,19.96,10.78
77 Guerrero Eduardo Neri ,19.96,10.78
77 Guerrero Huitzuco de los Figueroa ,19.96,10.78
77 Guerrero Iguala de la Independencia ,19.96,10.78
77 Guerrero Pedro Ascencio Alquisiras ,19.96,10.78
77 Guerrero Pilcaya ,19.96,10.78
77 Guerrero Teloloapan ,19.96,10.78
77 Guerrero Tepecoacuilco de Trujano ,19.96,10.78
77 Guerrero Zitlala ,19.96,10.78
77 México Almoloya de Alquisiras ,19.96,10.78
77 México Ixtapan de la Sal ,19.96,10.78
77 México Sultepec ,19.96,10.78
77 México Tenancingo ,19.96,10.78
77 México Texcaltitlán ,19.96,10.78
77 México Tonatico ,19.96,10.78
77 México Zacualpan ,19.96,10.78
77 México Zumpahuacán ,19.96,10.78
77 Morelos Coatlán del Río ,19.96,10.78
77 Morelos Tetecala ,19.96,10.78
78 Guerrero Azoyú ,20.29,10.96
78 Guerrero Cuajinicuilapa ,20.29,10.96
78 Guerrero Igualapa ,20.29,10.96
78 Guerrero Juchitán ,20.29,10.96
78 Guerrero Ometepec ,20.29,10.96
78 Guerrero Tlacoachistlahuaca ,20.29,10.96
78 Guerrero Xochistlahuaca ,20.29,10.96
78 Guerrero San Nicolás ,20.29,10.96
79 Guerrero Ixcateopan de Cuauhtémoc ,19.46,10.51
79 Guerrero Taxco de Alarcón ,19.46,10.51
79 Guerrero Tetipac ,19.46,10.51
80 Guerrero Acatepec ,19.61,10.59
80 Guerrero Ahuacuotzingo ,19.61,10.59
80 Guerrero Alcozauca de Guerrero ,19.61,10.59
80 Guerrero Alpoyeca ,19.61,10.59
80 Guerrero Atlamajalcingo del Monte ,19.61,10.59
80 Guerrero Atlixtac ,19.61,10.59
80 Guerrero Cochoapa el Grande ,19.61,10.59
80 Guerrero Copala ,19.61,10.59
80 Guerrero Copanatoyac ,19.61,10.59
80 Guerrero Cualác ,19.61,10.59
80 Guerrero Cuautepec ,19.61,10.59
80 Guerrero Huamuxtitlán ,19.61,10.59
80 Guerrero Iliatenco ,19.61,10.59
80 Guerrero Malinaltepec ,19.61,10.59
80 Guerrero Marquelia ,19.61,10.59
80 Guerrero Metlatónoc ,19.61,10.59
80 Guerrero Olinalá ,19.61,10.59
80 Guerrero San Luis Acatlán ,19.61,10.59
80 Guerrero Tlacoapa ,19.61,10.59
80 Guerrero Tlalixtaquilla de Maldonado ,19.61,10.59
80 Guerrero Tlapa de Comonfort ,19.61,10.59
80 Guerrero Xalpatláhuac ,19.61,10.59
80 Guerrero Zapotitlán Tablas ,19.61,10.59
80 Oaxaca Calihualá ,19.61,10.59
80 Oaxaca Coicoyán de las Flores ,19.61,10.59
80 Oaxaca Constancia del Rosario ,19.61,10.59
80 Oaxaca Ixpantepec Nieves ,19.61,10.59
80 Oaxaca Putla Villa de Guerrero ,19.61,10.59
80 Oaxaca San Francisco Tlapancingo ,19.61,10.59
80 Oaxaca San Juan Bautista Tlachichilco ,19.61,10.59
80 Oaxaca San Juan Ihualtepec ,19.61,10.59
80 Oaxaca San Martín Itunyoso ,19.61,10.59
80 Oaxaca San Martín Peras ,19.61,10.59
80 Oaxaca San Miguel Ahuehuetitlán ,19.61,10.59
80 Oaxaca San Miguel Tlacotepec ,19.61,10.59
